Web Search interest: gun
United Kingdom Past 4 hours

Interest over time
Time,gun
2016-01-11-11:36 UTC,87
2016-01-11-11:44 UTC,77
2016-01-11-11:52 UTC,92
2016-01-11-12:00 UTC,85
2016-01-11-12:08 UTC,79
2016-01-11-12:16 UTC,78
2016-01-11-12:24 UTC,85
2016-01-11-12:32 UTC,88
2016-01-11-12:40 UTC,78
2016-01-11-12:48 UTC,88
2016-01-11-12:56 UTC,74
2016-01-11-13:04 UTC,80
2016-01-11-13:12 UTC,88
2016-01-11-13:20 UTC,73
2016-01-11-13:28 UTC,96
2016-01-11-13:36 UTC,97
2016-01-11-13:44 UTC,83
2016-01-11-13:52 UTC,84
2016-01-11-14:00 UTC,87
2016-01-11-14:08 UTC,93
2016-01-11-14:16 UTC,88
2016-01-11-14:24 UTC,96
2016-01-11-14:32 UTC,100
2016-01-11-14:40 UTC,93
2016-01-11-14:48 UTC,95
2016-01-11-14:56 UTC,85
2016-01-11-15:04 UTC,82
2016-01-11-15:12 UTC,75
2016-01-11-15:20 UTC,60
2016-01-11-15:28 UTC, 


Top sub-regions for gun
Sub-region,gun
Wales,100
England,94
Scotland,93
Northern Ireland,75


Top cities for gun
Town/City,gun
Dinnington,100
Southend-on-Sea,80
Croydon,79
Ilford,74
South Cave,74
Birkenhead,73
Crawley,72
Portsmouth,68
Roade,63
Bolton,63
Basildon,62
Stretford,62
Coningsby,61
Aberdeen,59
Oxford,59



Top searches for gun
gun trader,100
nerf gun,50
top gun,45
sportsman gun centre,45
machine gun kelly,35
the stranger wore a gun,35
tamil gun,25
staple gun,25
nail gun,25
bb gun,25
glue gun,20
the gun,20
gun mayhem 2,15
gun blood,15
rail gun,15
gun mayhem,15



Rising searches for gun
staple gun,+120%
the stranger wore a gun,+90%
nerf gun,+80%
the gun,+40%



