Web Search interest: anger
United Kingdom Past hour

Interest over time
Time,anger
2016-01-06-12:28 UTC,81
2016-01-06-12:29 UTC,40
2016-01-06-12:30 UTC,41
2016-01-06-12:31 UTC,61
2016-01-06-12:32 UTC,20
2016-01-06-12:33 UTC,40
2016-01-06-12:34 UTC,80
2016-01-06-12:35 UTC,20
2016-01-06-12:36 UTC,20
2016-01-06-12:37 UTC,20
2016-01-06-12:38 UTC,30
2016-01-06-12:39 UTC,40
2016-01-06-12:40 UTC,40
2016-01-06-12:41 UTC,80
2016-01-06-12:42 UTC,60
2016-01-06-12:43 UTC,59
2016-01-06-12:44 UTC,59
2016-01-06-12:45 UTC,20
2016-01-06-12:46 UTC,20
2016-01-06-12:47 UTC,30
2016-01-06-12:48 UTC,40
2016-01-06-12:49 UTC,40
2016-01-06-12:50 UTC,40
2016-01-06-12:51 UTC,20
2016-01-06-12:52 UTC,60
2016-01-06-12:53 UTC,80
2016-01-06-12:54 UTC,20
2016-01-06-12:55 UTC,80
2016-01-06-12:56 UTC,100
2016-01-06-12:57 UTC,20
2016-01-06-12:58 UTC,40
2016-01-06-12:59 UTC,60
2016-01-06-13:00 UTC,40
2016-01-06-13:01 UTC,20
2016-01-06-13:02 UTC,20
2016-01-06-13:03 UTC,60
2016-01-06-13:04 UTC,60
2016-01-06-13:05 UTC,59
2016-01-06-13:06 UTC,59
2016-01-06-13:07 UTC,59
2016-01-06-13:08 UTC,79
2016-01-06-13:09 UTC,39
2016-01-06-13:10 UTC,59
2016-01-06-13:11 UTC,40
2016-01-06-13:12 UTC,39
2016-01-06-13:13 UTC,19
2016-01-06-13:14 UTC,19
2016-01-06-13:15 UTC,78
2016-01-06-13:16 UTC,59
2016-01-06-13:17 UTC,59
2016-01-06-13:18 UTC,39
2016-01-06-13:19 UTC,19
2016-01-06-13:20 UTC,19
2016-01-06-13:21 UTC,39
2016-01-06-13:22 UTC,39
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 


Top sub-regions for anger
Sub-region,anger
Wales,100
England,64
Scotland,42
Northern Ireland,29


Top cities for anger
Town/City,anger
London,100









