Web Search interest: disability discrimination
United Kingdom Past hour

Interest over time
Time,disability discrimination
2016-01-06-12:28 UTC,0
2016-01-06-12:29 UTC,0
2016-01-06-12:30 UTC,51
2016-01-06-12:31 UTC,63
2016-01-06-12:32 UTC,75
2016-01-06-12:33 UTC,87
2016-01-06-12:34 UTC,100
2016-01-06-12:35 UTC,50
2016-01-06-12:36 UTC,50
2016-01-06-12:37 UTC,50
2016-01-06-12:38 UTC,50
2016-01-06-12:39 UTC,50
2016-01-06-12:40 UTC,50
2016-01-06-12:41 UTC,50
2016-01-06-12:42 UTC,49
2016-01-06-12:43 UTC,62
2016-01-06-12:44 UTC,74
2016-01-06-12:45 UTC,86
2016-01-06-12:46 UTC,98
2016-01-06-12:47 UTC,49
2016-01-06-12:48 UTC,50
2016-01-06-12:49 UTC,50
2016-01-06-12:50 UTC,50
2016-01-06-12:51 UTC,50
2016-01-06-12:52 UTC,100
2016-01-06-12:53 UTC,0
2016-01-06-12:54 UTC,0
2016-01-06-12:55 UTC,0
2016-01-06-12:56 UTC,0
2016-01-06-12:57 UTC,0
2016-01-06-12:58 UTC,49
2016-01-06-12:59 UTC,50
2016-01-06-13:00 UTC,66
2016-01-06-13:01 UTC,82
2016-01-06-13:02 UTC,99
2016-01-06-13:03 UTC,50
2016-01-06-13:04 UTC,50
2016-01-06-13:05 UTC,50
2016-01-06-13:06 UTC,50
2016-01-06-13:07 UTC,49
2016-01-06-13:08 UTC,49
2016-01-06-13:09 UTC,49
2016-01-06-13:10 UTC,49
2016-01-06-13:11 UTC,73
2016-01-06-13:12 UTC,97
2016-01-06-13:13 UTC,49
2016-01-06-13:14 UTC,49
2016-01-06-13:15 UTC,49
2016-01-06-13:16 UTC,49
2016-01-06-13:17 UTC,49
2016-01-06-13:18 UTC,48
2016-01-06-13:19 UTC,48
2016-01-06-13:20 UTC,48
2016-01-06-13:21 UTC,0
2016-01-06-13:22 UTC,0
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 


Top sub-regions for disability discrimination
Sub-region,disability discrimination
England,100
Northern Ireland,0
Scotland,0
Wales,0











