Web Search interest: mind
United Kingdom Past 4 hours

Interest over time
Time,mind
2016-01-06-09:44 UTC,78
2016-01-06-09:52 UTC,99
2016-01-06-10:00 UTC,78
2016-01-06-10:08 UTC,86
2016-01-06-10:16 UTC,98
2016-01-06-10:24 UTC,89
2016-01-06-10:32 UTC,84
2016-01-06-10:40 UTC,100
2016-01-06-10:48 UTC,99
2016-01-06-10:56 UTC,83
2016-01-06-11:04 UTC,96
2016-01-06-11:12 UTC,86
2016-01-06-11:20 UTC,75
2016-01-06-11:28 UTC,92
2016-01-06-11:36 UTC,73
2016-01-06-11:44 UTC,93
2016-01-06-11:52 UTC,85
2016-01-06-12:00 UTC,90
2016-01-06-12:08 UTC,77
2016-01-06-12:16 UTC,96
2016-01-06-12:24 UTC,73
2016-01-06-12:32 UTC,74
2016-01-06-12:40 UTC,82
2016-01-06-12:48 UTC,82
2016-01-06-12:56 UTC,82
2016-01-06-13:04 UTC,90
2016-01-06-13:12 UTC,72
2016-01-06-13:20 UTC,75
2016-01-06-13:28 UTC,70
2016-01-06-13:36 UTC, 


Top sub-regions for mind
Sub-region,mind
Wales,100
England,75
Northern Ireland,57
Scotland,51


Top cities for mind
Town/City,mind
Crowthorne,100
Talgarth,99
Middlesbrough,89
Cardiff,65
Cambridge,53
Sunderland,50
Roade,50
Tittensor,50
Tibshelf,48
Coventry,47
Brighton,47
Gateshead,46
Newcastle upon Tyne,45
Crawley,41
Hull,40



Top searches for mind
calmness of the mind crossword,100
hermit crossword clue,75
bear in mind,70
mind map,70
mind crossword clue,65
bare in mind,65
sets free crossword clue,60
native plant or person crossword clue,35
perpetuity crossword clue,35
mind charity,30
pause in journey crossword clue,30
believe crossword clue,30
mind maps,30
native plant or person,25
goal crossword clue,25
fascinate crossword clue,25
ready to fight or argue crossword clue,20
mind pilot,20
hermit,20
prohibition crossword clue,20
mind body green,20
mind your language,20
mind tools,20
unit of distance crossword,20
native plant or person crossword,20
against crossword clue,20
calmness of the mind,20
ready to fight or argue crossword,20
chess piece crossword clue,20
sets free crossword,20
bear in mind or bare in mind,20
evident crossword clue,20
theory of mind,20
line of equal pressure crossword clue,20
ready to fight or argue,15
mind candy,15
mind mapping,15
perpetuity,15
mind gym,15
mind map software,15
mind palace,10
mind pilot app,10



Rising searches for mind
mind your language,+550%
ready to fight or argue crossword clue,+250%
mind crossword clue,+120%
perpetuity crossword clue,+110%
hermit crossword clue,+100%
native plant or person crossword clue,+80%
sets free crossword clue,+70%
goal crossword clue,+50%
pause in journey crossword clue,+50%
believe crossword clue,+40%



